P1A1,P1A2,P1A3,P1A4,P1A5,P1A6,P2A1,P2A2,P2A3,P2A4,P2A5,P2A6
 75% (23), spouse/mate (25), AL (34) ," carton",,, 30%, work (26), kids (2), FL (6) , Duds (14),
 45 (4), soccer (4), bluebird, ham (12) ," pimple (41)",, 22, football (16), seed (9), bacon (33) , breakout,
 House (24), (hermit) crab (27), mortuary (20), car (32) ," 30 (44)",, Horse (3), lobster, lawyer (5) , 40 (6),,
 Three (26), get a tissue (36), burger (7), carnation (37) ," police (13)",, Two (27), wipe face, baby's breath , spouse/mate (42),,
 Three (38), olives (20), TV (4), sneezing (21) ," cats (47)",, Four (11), peaches (23), amusement rides (37), blowing nose , dogs,
 U.S. (22), 12 (4), burp (2), bottles (4) ," shoes/feet (56)",, Arab, nine, drink coffee (6), balloons (25) , hair,
 Jobs (29), neck (20), clothes/shoes (30), four (3) ," mosquito (43)",, Children (15), feet (17), towels, five (35) , dog (14) ,
 8 (18), fork (37), curves (2), back (36) ," candles (37)",, 10 (28), pork (26), highway (37), legs , flashlight,
 Construction (10), Christmas (11), two (25), hot sauce (2) ," face (16)",, Babysitter, Thanksgiving (18), three (8), Mexican food (15) , stomach (43),
 10 (9), pot roast (20), whales (32), glasses (18) ," butt (2)",, 12 (8), turkey (12), day (7), Internet , legs (28),
 Papaya, 10 (8), Great Dane (20) ," back (33)",,, Carrot (22), 75, Pitbull (12), shoulders (5) , munch (6),
 Spouse/mate (4), clothes (24), hall (15), forever (2) ," bus (58)",, Mom (22), car (16), mall (3), half-yr. (14) , train (4),
 Butt (11), amigo (8), work, three months (4) ," soda (36)",, Arms, pal (34), college (16) , two yrs. (24),,
 Honk horn (30), church (29), 12 (15), time (3) ," family (35)",, Flick 'em off (42), plane, eight (7), turtle/tortoise (40) , $,
 8 (11), tie (36), milk (37), kiss (18) ," Christmas (43)",, 9 (6), jump (21), water (27), hug (41) , Thanksgiving,
 5 (26), work (4), Stock (19), Christmas (5) ," cheese (41)",, 8 (8), automobile (23), Super (22), Valentine's Day (25) , pasta (29),
 Theater (27), 8 (10), fries (32), date (33) ," vacations/travel (43)",, Bus (13), 10 (24), baked potato, wedding (38) , parties,
 Friend (29), 7 (23), bow (30), kiss (32) ," T.P. (20)",, Mom (23), 9 (13), cloud, make love (2) , toothbrushes (14),
 Nudge seats (6), town (16), shades (6) ," 25 (35)",,, Go to bathroom, here (27), visor (6), 18 (2) , gun,
 Drinks (33), 60 (26), $/prizes (30), dress ," socks (42)",, Food (35), 50 (21), cars, referee , on each other (26),
 Valentine's Day, five (13), breasts (22), fruit (30) ," fireman (52)",, Birthday (10), three (19), sides (neck tied for #1), milk (6) , police (8),
 Blush (2), 6 (12), hamster (15), my mom ," church (14)",, Razors, 8 (13), bird (5), spouse/mate , theater (47),
 50% (21), bathrooms (3), football (28) ," turkey (19)",,, 60% (6), car (29), baseball (9), roast , strip club (40),
 TV (19), 16 (12), Dec. (3), wife/grandma (38) ," plane (48)",, Stereo (2), 13 (14), Mar., shoes , church (2),
 TV (35), 5 (6), alarm clock (16), sleeping bag (22) ," shoes (50)",, Eating (5), 16 (22), coffee (25), toothbrushes (5) , wallet ,
 Mini donuts, anniv. (31), one (30), poison ivy (42) ," home (28)",, Cheese curds, wedding (17), three (21), cactus (46) , car,
 Hr. (31), Holiday Inn (34), I.C. (44), wash (23) ," Social Security (41)",, Two hrs. (23), Motel 6 (7), Popsicles, renew registration , phone,
 Car (30), leg (19), diplomas (28), two yrs. (24) ," roll over (2)",, Chair (13), arm (6), cap/gowns (22), yr. (30) , eat (16),
 Chica, pizza (12), 100lbs. (19), water (32) ," airplanes (41)",, Hola (21), I.C. (17), 250lbs. (7), reef (17) , helicopters,
 5 (25), chocolate/cocoa (30), lion (37), ghosts (9) ," graduation (9)",, 10 (16), coffee (17), gorilla (5), costumes (23) , wedding (50),
 Tomatoes (34), graduation (16), computer, slap yourself (4) ," smell (14)",, Cheese (9), birthday (32), car (11), drink coffee (31) , time (4),
 Ears, car (2), phone charger (19), 20 ," dog (54)",, Nipples (13), church (29), toaster (6), 25 (4) , cheetah (8),
 8 (33), strawberry (33), clip (22), Coca-Cola (44) ," water (49)- ACED",, 7 (7), grape (27), cut, iced tea , Web ,
 8 (9), ball (8), FL (33), oysters (32) ," hair (48)",, 9 (3), of dynamite, CA (19) , armpits (4),,
 5 (11), spouse/mate (5), trick (9), St. Patrick's Day (8) ," banana (4)",, 10 (6), lawyer, show (3), MLK Day , apple (53),
 Toothbrushes (2), 10PM (29), ice cream (30), bathroom (47) ," China (13)",, Meds (44), midnight (8), JELL-O (4), work (11) , U.S. (48),
 Two wks. (11), groc. store (23), sit (5), football (37) ," cheeks (37)",, Month (19), restaurant (19), desk job, basketball (7) , forehead (8),
 50% (21), smoke (15), mango (2), burn ," elephant (43)",, 75% (2), alcohol (26), orange (21- cantaloupe also tied for #1), rain (14) , hippo,
 ID/passport (34), 11 (25), track/field, Spain (37) ," I.C. shop",, Wallet (7), 10 (12), football (33), Mexico (51) , movies (43),
 Car (7), five (17), Jun. (20), legs (32) ," Wendy (42)",, Education (10), six (12), Dec. (19), armpits (34) , Whitney (5),
 50 (17), cubicles (7), pink (25), cow (27) ," legs (40)",, 15, people (7), purple (24), chicken (20) , arms (4),
 Valentine's Day, see (16), NY (40), purple (43) ," shoes (54)",, Birthday, business (22), ATL, black (11) , socks (42),
 70 (17), ride bike (12), boarding school (21), fruit ," underarms (47)",, 50 (21), alphabets (21), boarding house (15), bread (21) , forehead (14),
 Christmas (39), 60 (23), face (5), butt (4) ," May (15)",, Valentine's Day (47), 65 (21), people, thigh , Apr. (43),
 Lose weight/diet (40), 9 (10), hair/wig (37), bad (11) ," guns (38)",, Exercise (16), 8 (13), hat (36), sad , phone,
 9 (20), head (22), airbag (35), chicken (36) ," beef",, 10 (24), face (13), door locks (3), fries (47) , electric cords,
 Easter (16), 7 (15), jitters (10), pig (25) ," sugar (5)",, Thanksgiving (34), 9 (11), nail-biting (6), chicken (41) , puff (42),
 10 (27), Oct., car (17) ," jerky (47)",,, 8 (24), Jun. (23), nurple (2), marriage , lurky (9),
 Home (3), 90 (24), chess, book (10) ," mom (11)",, Spouse/mate (3), 100 (10), soccer (20), change (15) , spouse/mate (44),
 Remote (29), Indian, suitcase (30), two hrs. (45) ," strike (57)",, Car (30), French (22), bag, 1.5 hrs. , out,
 Toys (9), weight (3), tiger, 10 (2) ," granola bar",, Trunk, weather (22), squirrel (13), 12 (35) , chicken,
 9 (7), stork (32), laying on beach (23), can (22) ," wash (43)",, 8 (3), heaven (20), going home (37) , pop zits ,,
 Eggs (9), 15, NV, cherry (33) ," get coffee (41)",, Glass/cups (28), 35 (13), CA (4), peach (16) , clock in (11),
 50 (5), milk (15), driver's license (25), trumpet (40) ," trampoline (2)",, 56, singing (36), for work (9), flute (20) , tightrope/high wire (43),
 7 (25), Mar. (9), grill/smoker (30), Chicago ," beach (55)",, 6 (12), Jan. (5), charcoal (21), NY (40) , pool (8),
 Two hrs. (6), green (36), chest (18), TV (17) ," steel (53)",, 45 min. (4), brown (25), rear-end (14), home (30) , silver,
 Butt (25), beds (26), eat (19), two (21) ," home (38)",, Breasts, gift basket, watching TV (15), three (32) , car (20),
 Wife (11), alligator, throne (6), Winter ," three (47)",, Father (6), pizza, crown (25), Windy (6) , two (34),
 Movie (29), once a yr. (23), eyes (5), sprinkles (10) ," rats/mice (48)",, Wedding, rarely, makeup (13), W.C. (6) , ants (35),
 Two (5), rhino (32), jungle gyms (19), cat (33) ," dad (9)",, ZERO, trees (35), -ble (4) , uncle (41),,
 6 (9), flashlights (30), cotton candy (25), kissing (32) ," spouse/mate (19)",, 5 (15), canned goods (3), popcorn (27), hugging (45) , children,
 8th (16), hands (14), toilet (40), bunny (41) ," fried alligator (4)",, 6th (11), legs, shower (19), eggs (34) , shoes/boots (51),
 Stove (8), closet (23), MN (5), 80 (11) ," baseball (48)",, Washing machine (20), drawers (18), MS (12), 100 (30) , hockey (4),
 15 min. (14), surf (31), car (32), long hair (6) ," purple/lavender (54)",, Half-hr. (18), swim (20), crate (17), bug (12) , yellow ,
 Chicken (7), four (8), (beer) belly (42), couch ," prom (51)",, Pizza (25), three (29), abdomen (5), chairs (20) , wedding (36),
 Sleep (11), hairdryer (6), popcorn (5), unicorn ," 8 (23)",, Walk (27), TV (9), pretzels (12), lion (2) , 9 (39),
 Elephant (11), dining out (28), 13 (32) ," craps (7)",,, Bunny (6), nose-picking, scrap (2), 16 (5) , casinos (51),
 One (8), spiders/bugs (21), Gatorade (3), partying ," gas tank",, Three (5), rabbits (12), water (8), drinking , steering wheel (52) ,
 Mom (5), legs (11), happy (30), rabbit (31) ," one (45)",, Dad, elbows (7), at women (30), handkerchief (3) , two (5),
 4 (12), fruit (31), France (28), under the mat (45) ," whitener (4)",, 2, Brazil (21) , toothpaste (52),,,
 10 (25), Jun. (14), B.O. (18), FL (37) ," ambulance (52)",, 20 (8), Sept. (6), bad breath (2), TX (CA tied for #1) , police car (10),
 8 (13), Q-tips (32), human (13), comb ," roller coaster (48)",, 9 (9), earrings (8), ostrich/bird (41), hair (43) , Tilt-a-Whirl,
 Paper (5), coat (23), Pamela (22), 5% (14) ," watermelon (46)",, Sandcastle (13), ice, Joe, 50% (5) , grapefruit ,
 6 (13), apple (36), dude (33), children (45) ," rabbit (44)",, 10 (13), bananas, blude, pets (2) , kangaroo (27),
 7 (7), truck (11), squirrel, cry/eyes water (37) ," fingers (2)",, 8 (15), pluck, snake (6), urinate in your pants (7) , streets (39),
 Water, 1AM (12), water bottle (18), work (2) ," breasts (34)",, Doughnuts, 1:30 AM (4), spouse/mate (12) , butt (3),,
 Arms (11), 10 (29), car (12), toes (27) ," kids (53) ",, Hair, 13 (13), home/closet (30), tongue (39) , pets,
 Lawyer (16), 30 (23), boots (30), icing/frosting (44) ," ducks (50)",, Doctor (3), 25 (21), spurs, candles (34) , scum,
 Tighty-whities (13), 30 (6), tie, raccoon (33) ," swim (47)",, Shorts (6), 40 (19), dog (20) , dive,,
 Pool (6), fly kite (26), 13 (14), going to the beach ," lights (8)",, Locker rm. (9), running (22), 12 (25), get married (32) , radio (57)- PL,
 Golf, 7 (12), China (29), butt (41) ," football (4)",, Singing (7), 4 (9), fancy suits (18), legs (32) , boxing (45),
 6 (2), Mandy (12), store (2), booze (43) ," U.S. (34)",, 5 (26- tied w/ 8), brandy (8), daycare (7), decorations (music tied for #1) , China (47),
 7 (11), grass (16), booty (19), cigar(ette) ," rackets (42)",, 8 (10), fire hydrant (23), head (28), people/employees (46) , balls (39),
 Psychology, toothpaste (2), people (6), airplane (42) ," hr. (56)",, Men/relationships (26), toothbrushes (33), basketball (37), roller coaster , half-hr.,
 Piranha, birthday (9), 5 (3), pencil (45) ," Italian (33)",, Jellyfish (31), Christmas (3), 7 (10), knife (40) , French (58),
 12 (5), Chap-Stik, legs (39), Christmas Eve (42) ," phone # (22)",, Six (4), cellphone (6), back (15), New Yr.'s Eve (30) , address (27),
 $200 (7), Budweiser (23), butt (2), drum (16) ," phone (45)",, $500 (5), Coors (14), legs (29), French horn , TV (14),
 Person/spouse/mate (35), ice skates, wildebeast (2), midnight (19) ," tail",, Children, snowboards (2), walrus (39), 11:30PM (3) , bumper stickers (3),
 Work (35), dishes (11), 40 (9), bottom (41) ," police officer",, Going to school, counter (26), 28, face (20) , nosy (45),
 Two (24), decay (8), ribs, pantyhose (40) ," toys (51)",, Six (8), fairy (31), marshmallows (39), anklet , washcloths,
 8 (34), helmet (30), let die (34), whine/bark (45) ," back (43)",, 5, shoulder pads (25), love , legs,,
 Bra (27), 13 (2), lunchroom (25), long hair (14) ," rats (52)",, Panties (24), 14, library (2), talent , raccoon,
 911 (11), 50 (26), beer (35), afraid (27) ," baboon (7)",, Mom (22), 60 (10), stools, startled (2) , elephant (45) ,
 Five (19), pregnancy (23), squishy, nose (30) ," chin",, Four (9), hungover (27), pushy (31), chest (39) , mustache (16),
 Legs (13), darts (26), eight (25), nesting (5) ," gloves (51)",, Back (37), beer pong (2), one , chirping (32),,
 12 (29), cheese (36), hip (9), cake (5) ," bedroom (49)",, 11 (2), chicken (2), knee (32) , tooth (43),,
 Three months (13), O.J. (15), car (42), luggage (2) ," suit (49)",, 12 (23), love, home (28), pray (28) , hair,
 Linens (14), two (25), hopscotch (14), clothes (34) ," church (41)",, Toothbrush (15), four (11), CHUTES ‘N LADDERS (2), car (20) , wedding (6),
 Salmon (5), 13 (23), butt (5) ," anger (8)",,, Salad (31), 14 (12), crotch (6), sadness (21) , and peanut butter,
 8AM (22), steak (10), Spain (32), mouths (35) ," ceiling fan (41)",, 9AM (48), pizza (12), lips , paint,,
 Blue (46), 102.5°, Sun (23), trampoline (35) ," church (10)",, Brown (22), 101° (13), nookies (2), pogo stick (10) , library (52),
 Mom (4), 13 (23), fries (6), shoes (16) ," Spain (4)",, Bros. (17), 16 (16), pizza (11), pants (7) , Greece (2) ,
 Ham (9), contractor (5), 5 (21), bed/crib (33) ," sharks (51)",, Mashed potatoes (5), sales (7), 7 (13), couch , waves (20),
 Violin (25), soil (16), exercising (26), $100 (34) ," scream (47)",, Oboe, coil (3), going upstairs, $200 (8) , run away (12),
 Walk her to door, three (37), sheets (29), bikini (35) ," woodchuck (45)",, Pay (29), five (11), mattress (3), thong (2) , woodpecker (52),
 Three (25), candy (31), hands (35), stomach (10) ," fireworks",, 10 (5), cakes (2), feet (17), bank acct. (24) , wood (30),
 Spouse/mate (29), (grocery) cart (27), catfish (25), eight (17) ," money (46)",, Car (26), lawnmower (24), trout (14), 10 , guns ,
 Shirts (3), spouse/mate (28), boo (20), x-ray (41) ," dog (55)",, Undies (9), parents (12), use cellphone (18), xylophone (38) , cat,
 $10K (6), cheese (26), NY (3), closet (35) ," doctor (53)",, $100 (7), fruit, IL, car (7) , lawyer (17),
 Keys, 7 (7), furniture, referee (40) ," jockey (46)",, Pants (38), 6 (14), cars (14), coach (20) , stripes,
 Pets, three (20), dirt/soil (24), apple (19) ," TVs (42)",, Spouse/mate (25), two (14), water, pineapple (13) , shaving cream (8),
 Five (41), change (14), black (37), gloves (13) ," chicken (49)",, Three (4), pen(cil)s (21), red (26), boxers , turkey,
 Chairs, Christmas (19), 10 (27), cereal (12) ," grass (43)",, Bed (19), wedding (24), 15, mac ‘n cheese (5) , money (11),
 40 (19), NY (28), son (11), smell/sniff (34) ," legs (45)",, 35 (30), Vegas (17), mom (14) , bark (20),,
 Restroom (23), underwear/panties (36), church (40), chin (7) ," raise (44)",, Sex (30), shirt, school (37), nose , promotion,
 8 (23), hat (11), toothpaste (4), butt (34) ," coleslaw (12)",, 7 (11), thong (3), toothpicks, back (2) , cereal (43),
 Car (24), 7 (10), trap, turkey (3) ," butt (16)",, Jewelry (21), 2 (5), -witted (2), ham (20) , breasts (6),
 Three (23), May (10), Gordon (25), shampoo (8) ," hands (7)",, Two (24), Mar. (13), fire, shower (19) , desk (2),
 Heater, four (9), Mon. (40), put socks on ," carpeting (13)",, Radio (26), five (25), Wed. (16), massage (45) , clothes (48),
 Two (46), parents/family (24), leech (24), football (26) ," Mar. (31)",, One (16), pets (12), teach (19), tennis (10) , Apr.,
 Rat/mouse (3), Coke (22), net, 7 (13) ," church (2)",, Bear (20), beer (26), diving board (2), 6 (11) , work (46),
 Five (23), Muenster (13), boat (31), call husband (15) ," dentures (8)",, Four (13), Gouda (24), tractor, make a fire (12) , contacts (9),
 Europe (33), bread (12), $ (3), 7AM (34) ," gold (39)",, Store/mall (38), potatoes/fries (24), bathroom sink (4), 7:30AM , love,
 TV/remote (46), 10 (23), pig (22), stomach (7) ," flowers (44)",, Bathroom, seven (22), cats (11), legs (5) , Sun (4),
 25 (16), sand/beach (38), home (29), Chap-Stick ," growl (50) ",, 20 (2), snow, car (34), cigar(ette)s (44) , chew,
 Three (11), down (3), pole (32), I.C. (44) ," OPEN (40)",, Five (9), “Nights” (18), net (23), hot dog , FOR SALE (43),
 Fight, 40 (8), milk (3), mom (32) ," ocean (48)",, Sex, 30 (29), oatmeal/cereal (24), spouse/mate (23) , wind (3) ,
 Butt (35), chips (28), pink (37), bra (42) ," planes (5)",, Leg (6), sausage (2), white (17), boxing gloves , clouds (45),
 8 (16), going to bathroom (38), lingerie (11), milk cows (41) ," belly (22)",, 9 (6), standing up (10), flowers (36), pick plants , cheeks (51),
 Spouse/mate (19), 10 (11), bed (16), boots (5) ," Miller (13)",, Car (34), 9, toilet (7), hats (21) , Stella,
 8 (13), (pepper)mint (23), hopscotch (3), flour (7) ," bug (19)",, 6 (5), caramel (3), catch (4), ceiling (12) , snake (48),
 French fries (2), amusement park (30), 9PM (20), wash (45) ," feed it (20)",, Grapes, horror house (8), 10PM (26), oil change (3) , burp 'em (5),
 Chest (35), 8 (13), FL (26), Woodpecker (17) ," kids (42)",, Dong (28), 7 (12), CA (22), Hayes , $ (49),
 Three (30), mattress (27), football (38), ring (40) ," fruit ",, Twice (42), sheets (2), basketball, earrings (9) , caramel (48),
 5 (8), lion (24), air (27), skunk (32) ," be quiet (52)",, 7 (19), tiger (3), water (2), trash (6) , stop talking (3),
 7 (7), kangaroo, radio (14), pretty (42) ," hotel (2)",, 8 (28), camel (28), speed, gorgeous (32) , hospital (35),
 Wk. (20), bumble (11), pizza (6), garden (30) ," the Sun (56) ",, Two days (17), rumble (10), mashed potatoes, sanctuary , beaches (9),
 8 (17), football (19), dentist/doctor (12), break ," full (14)",, 6 (6), soccer (17), DMV, Seals (2) , King (50) = 137,
 Ears (34), 20 min. (15), mood rings (3), weddings (39) ," policemen (20)",, Mouth (33), hr. (21), face (2), birthdays (36) , doctors- W,
